epoch,acc,loss,root_mean_squared_error,val_acc,val_loss,val_root_mean_squared_error
,,,,,,
0,0.245541723,1.606315036,0.362879252,0.311911171,1.545649934,0.353019755
,,,,,,
1,0.314855316,1.51836026,0.353359651,0.351951548,1.46725658,0.346893837
,,,,,,
2,0.350437416,1.458943723,0.345709396,0.371467025,1.418095578,0.341932102
,,,,,,
3,0.369784657,1.420456398,0.340571469,0.380551817,1.390435085,0.33893208
,,,,,,
4,0.398384926,1.382682161,0.335032178,0.402086137,1.36560432,0.333870592
,,,,,,
5,0.411170929,1.34765149,0.330722441,0.415208614,1.333331207,0.322961624
,,,,,,
6,0.425555182,1.319123072,0.326568359,0.438761777,1.302331856,0.323893028
,,,,,,
7,0.447257739,1.284798662,0.320696524,0.427658143,1.318104122,0.323108885
,,,,,,
8,0.458193136,1.255523694,0.316853342,0.43909825,1.2903406,0.323084983
,,,,,,
9,0.470726784,1.224637169,0.312794194,0.451547779,1.284884633,0.316436363
