epoch_h,acc_h,loss_h,root_mean_squared_error_h,val_acc_h,val_loss_h,val_root_mean_squared_error_h
0,0.254458277,1.602515018,0.362257192,0.332772544,1.512746833,0.353547873
1,0.32166891,1.496335432,0.350397027,0.32705249,1.498427316,0.352311247
2,0.368691117,1.414603175,0.340734896,0.403768506,1.364642614,0.335954112
3,0.407217362,1.353551456,0.332326112,0.427658143,1.323166212,0.327726672
4,0.427321669,1.310919541,0.326096734,0.447510094,1.270725744,0.322307614
5,0.444313594,1.26645991,0.319856866,0.446164199,1.257403949,0.32117296
6,0.462987887,1.235063661,0.315290167,0.463997308,1.228826293,0.31480497
7,0.478381561,1.200782528,0.310255289,0.468371467,1.23866837,0.310937199
8,0.495457604,1.172200637,0.305077556,0.48384926,1.214130684,0.304168978
9,0.508495962,1.141473055,0.300252314,0.460632571,1.238517032,0.315313534
